Resulting plugin list:
analysis-model-api 13.21.0-945.va_f5a_0b_c1404b_
pipeline-build-step 584.vdb_a_2cc3a_d07a_
pipeline-graph-analysis 254.v0f63a_a_447dca_
pipeline-graph-view 803.vb_88f7a_a_1cb_47
pipeline-groovy-lib 787.ve2fef0efdca_6
pipeline-input-step 540.v14b_100d754dd
pipeline-maven 1672.v1b_d4c0435b_20
pipeline-maven-api 1672.v1b_d4c0435b_20
pipeline-milestone-step 138.v78ca_76831a_43
pipeline-model-api 2.2277.v00573e73ddf1
pipeline-model-definition 2.2277.v00573e73ddf1
pipeline-model-extensions 2.2277.v00573e73ddf1
pipeline-rest-api 2.39
pipeline-stage-step 322.vecffa_99f371c
pipeline-stage-tags-metadata 2.2277.v00573e73ddf1
pipeline-stage-view 2.39
plain-credentials 199.v9f8e1f741799
plugin-usage-plugin 418.v308c3c863d25
plugin-util-api 6.1192.v30fe6e2837ff
prism-api 1.30.0-703.v116fb_3b_5b_b_a_a_
prometheus 852.v317db_5d17a_b_0
promoted-builds 992.va_00888f21b_74
rebuild 338.va_0a_b_50e29397
resource-disposer 0.25
scm-api 728.vc30dcf7a_0df5
script-security 1399.ve6a_66547f6e1
simple-theme-plugin 230.v8b_fd91b_b_800c
snakeyaml-api 2.5-149.v72471e9c6371
snakeyaml-engine-api 3.0.1-5.vd98ea_ff3b_92e
sonar 2.18.2
ssh-agent 386.v36cc0c7582f0
ssh-credentials 361.vb_f6760818e8c
ssh-slaves 3.1097.v868116049892
structs 362.va_b_695ef4fdf9
timestamper 1.30
token-macro 477.vd4f0dc3cb_cf1
trilead-api 2.284.v1974ea_324382
variant 70.va_d9f17f859e0
warnings-ng 12.10012.v753ff0d0363a_
workflow-aggregator 608.v67378e9d3db_1
workflow-api 1398.v67030756d3fb_
workflow-basic-steps 1098.v808b_fd7f8cf4
workflow-cps 4259.vf653c2b_8a_b_69
workflow-durable-task-step 1464.v2d3f5c68f84c
workflow-job 1571.vb_423c255d6d9
workflow-multibranch 821.vc3b_4ea_780798
workflow-scm-step 466.va_d69e602552b_
workflow-step-api 710.v3e456cc85233
workflow-support 1015.v785e5a_b_b_8b_22
ws-cleanup 0.49
xvnc 1.28

