Resulting plugin list:
analysis-model-api 12.9.1
pipeline-groovy-lib 749.v70084559234a_
pipeline-input-step 508.v584c0e9a_2177
pipeline-maven 1469.ve15ca_a_b_90b_44
pipeline-maven-api 1469.ve15ca_a_b_90b_44
pipeline-milestone-step 119.vdfdc43fc3b_9a_
pipeline-model-api 2.2221.vc657003fb_d93
pipeline-model-definition 2.2221.vc657003fb_d93
pipeline-model-extensions 2.2221.vc657003fb_d93
pipeline-rest-api 2.34
pipeline-stage-step 312.v8cd10304c27a_
pipeline-stage-tags-metadata 2.2221.vc657003fb_d93
pipeline-stage-view 2.34
plain-credentials 183.va_de8f1dd5a_2b_
plugin-util-api 5.1.0
prism-api 1.29.0-18
prometheus 811.v1823c780b_e8e
promoted-builds 965.vcda_c6a_e0998f
pubsub-light 1.18
rebuild 332.va_1ee476d8f6d
resource-disposer 0.25
scm-api 703.v72ff4b_259600
script-security 1369.v9b_98a_4e95b_2d
simple-theme-plugin 202.v6367d3dea_73b_
slack 761.v2a_8770f0d169
snakeyaml-api 2.3-123.v13484c65210a_
sonar 2.18
sse-gateway 1.27
ssh-agent 376.v8933585c69d3
ssh-credentials 349.vb_8b_6b_9709f5b_
ssh-slaves 3.1021.va_cc11b_de26a_e
structs 338.v848422169819
support-core 1557.v3435ec4057a_e
timestamper 1.28
token-macro 444.v52de7e9c573d
trilead-api 2.147.vb_73cc728a_32e
variant 70.va_d9f17f859e0
warnings-ng 11.12.0
workflow-aggregator 600.vb_57cdd26fdd7
workflow-api 1363.v03f731255494
workflow-basic-steps 1079.vce64b_a_929c5a_
workflow-cps 4014.vcd7dc51d8b_30
workflow-durable-task-step 1405.v1fcd4a_d00096
workflow-job 1498.v33a_0c6f3a_4b_4
workflow-multibranch 800.v5f0a_a_660950e
workflow-scm-step 427.v4ca_6512e7df1
workflow-step-api 686.v603d058a_e148
workflow-support 944.v5a_859593b_98a_
ws-cleanup 0.48
xvnc 1.28

